coefficient_case,family,contrast_target,contrast_observed,grad_logk_inf,total_variation_proxy,n,n_unknowns,method,tolerance,converged,iterations,setup_seconds,solve_seconds,total_seconds,residual_norm,memory_estimate_mb,best_method,is_best,speedup_vs_cg
layered_c100,layered,100.0,100.0,587.1591987134817,99.38823529411765,256,64516,cg,1e-08,True,5055,3.998866304755211e-07,6.3362142000114545,6.336214599898085,9.736554715984458e-09,5.402774810791016,amg-pcg,False,1.0
layered_c100,layered,100.0,100.0,587.1591987134817,99.38823529411765,256,64516,jacobi-pcg,1e-08,True,657,0.0003130999393761158,0.8794954000040889,0.879808499943465,9.665856518359263e-09,5.402774810791016,amg-pcg,False,7.20181107627994
layered_c100,layered,100.0,100.0,587.1591987134817,99.38823529411765,256,64516,amg-pcg,1e-08,True,10,0.1700503999600187,0.07634539995342493,0.24639579991344362,3.5450468402221864e-09,5.402774810791016,amg-pcg,True,25.715594998469673
checkerboard_c10,checkerboard,10.0,10.0,102.57493261145427,128.0,64,3844,cg,1e-08,True,248,5.00003807246685e-07,0.012121499981731176,0.012121999985538423,9.962771501087436e-09,0.3197669982910156,jacobi-pcg,False,1.0
checkerboard_c10,checkerboard,10.0,10.0,102.57493261145427,128.0,64,3844,jacobi-pcg,1e-08,True,163,0.0002250999677926302,0.008367900038138032,0.008593000005930662,7.605505255523076e-09,0.3197669982910156,jacobi-pcg,True,1.4106831115061258
checkerboard_c10,checkerboard,10.0,10.0,102.57493261145427,128.0,64,3844,amg-pcg,1e-08,True,11,0.009663200005888939,0.005806699977256358,0.015469899983145297,2.745693884941867e-09,0.3197669982910156,jacobi-pcg,False,0.7835861898748884
checkerboard_c10,checkerboard,10.0,10.0,206.77803875642368,126.99212598425197,128,15876,cg,1e-08,True,536,5.00003807246685e-07,0.34198509994894266,0.3419855999527499,9.261295256658902e-09,1.3266029357910156,amg-pcg,False,1.0
checkerboard_c10,checkerboard,10.0,10.0,206.77803875642368,126.99212598425197,128,15876,jacobi-pcg,1e-08,True,334,0.00013209995813667774,0.21791560004930943,0.2180477000074461,8.931150873822651e-09,1.3266029357910156,amg-pcg,False,1.5683981071163393
checkerboard_c10,checkerboard,10.0,10.0,206.77803875642368,126.99212598425197,128,15876,amg-pcg,1e-08,True,13,0.056565599981695414,0.03452709992416203,0.09109269990585744,2.854893325584751e-09,1.3266029357910156,amg-pcg,True,3.7542591262108322
checkerboard_c10,checkerboard,10.0,10.0,415.1842510463625,126.49411764705883,256,64516,cg,1e-08,True,1119,3.00002284348011e-07,1.2686736999312416,1.268673999933526,9.725310838061835e-09,5.402774810791016,amg-pcg,False,1.0
